player_id,player_name,player_position,player_age,player_avg_yellow_cards,player_avg_red_cards,player_avg_fouls
321,"Gabriel Jesus",Forward,25,1.75,0,23.25
322,"Gabriel Magalhães",Defender,24,4,1,23
323,"Gabriel Martinelli",Forward,21,0.666667,0.333333,14
325,"Conor Gallagher",Midfielder,22,10.5,0,54
326,"Eric García",Defender,21,0.5,0,6.5
327,"Alejandro Garnacho",Midfielder,18,0,0,1
328,"James Garner",Midfielder,21,0,0,0
329,"Dwight Gayle",Forward,32,1,0,4.66667
330,"Jean-Philippe Gbamin",Midfielder,27,0,0,0.666667
332,"Rachid Ghezzal",Midfielder,30,3,0,13
333,"Saman Ghoddos",Forward,29,2,0,12
334,"Dimitris Giannoulis",Defender,26,2,0,16
336,"Morgan Gibbs-White",Midfielder,22,0.75,0,4.25
338,"Bryan Gil",Forward,21,0,0,1
342,"Billy Gilmour",Midfielder,21,0.666667,0,11
343,"Olivier Giroud",Forward,36,1,0,14.6667
344,"Ben Godfrey",Defender,24,4.5,0.5,16
347,"Joe Gomez",Defender,25,2.75,0,11
348,"Charlie Goode",Defender,27,3,0,5
350,"Dan Gosling",Midfielder,32,5.5,0,25
353,"Demarai Gray",Forward,26,1.66667,0,8.66667
354,"Jack Grealish",Midfielder,27,5.66667,0,30.3333
355,"Sam Greenwood",Forward,20,0,0,7
357,"Pascal Groß",Midfielder,31,2.25,0,17
359,"Vicente Guaita",Goalkeeper,35,1.75,0,0.5
360,"Jóhann Gudmundsson",Midfielder,31,0,0,9
361,"Marc Guéhi",Defender,22,4,0,14
362,"Mattéo Guendouzi",Midfielder,23,7.5,0,20.5
363,"Frédéric Guilbert",Defender,27,7,0,36
364,"Ilkay Gündogan",Midfielder,31,3,0,12.5
365,"Angus Gunn",Goalkeeper,26,0,0,0
370,"Grant Hanley",Defender,30,3,0,17
373,"Jack Harrison",Midfielder,25,2.5,0,28.5
374,"Joe Hart",Goalkeeper,35,0,0,0
376,"Kortney Hause",Defender,27,1.66667,0,11.6667
377,"Kai Havertz",Midfielder,23,2.5,0,33.5
380,"Tom Heaton",Goalkeeper,36,1.5,0,1
383,"Hélder Costa",Forward,28,1,0,13.6667
386,"Jeff Hendrick",Midfielder,30,4.33333,0.333333,16.3333
387,"Wayne Hennessey",Goalkeeper,35,0,0,0
388,"Rico Henry",Defender,25,2,0,20
390,"Onel Hernández",Midfielder,29,0,0,14
393,"Leo Hjelde",Defender,19,0,0,1
394,"Wesley Hoedt",Defender,28,2,0,15
395,"Ki-Jana Hoever",Defender,20,1,0,4
396,"Rob Holding",Defender,27,1.5,0.25,11
397,"Mason Holgate",Defender,25,4.33333,0.333333,15
398,"Nathan Holland",Midfielder,24,0,0,0
399,"Conor Hourihane",Midfielder,31,2,0,7.5
400,"Callum Hudson-Odoi",Midfielder,21,0.5,0,8.25
402,"Will Hughes",Midfielder,27,6.66667,0,41.6667
407,"Hwang Hee-Chan",Forward,26,2,0,29
408,"Pierre-Emile Højbjerg",Midfielder,27,6,0.5,47.5
409,"Adam Idah",Forward,21,0,0,4.5
410,"Kelechi Iheanacho",Forward,26,1.33333,0,18.3333
411,"Danny Ings",Forward,30,2.25,0,21.75
412,"Tim Iroegbunam",Midfielder,19,1,0,2
414,"Alex Iwobi",Forward,26,0.25,0,12.25
415,"José Izquierdo",Forward,30,1,0,6
417,"Alireza Jahanbakhsh",Forward,29,1,0,10.5
419,"Reece James",Defender,22,2.66667,0.333333,24.3333
420,"Vitaly Janelt",Midfielder,24,3,0,26
421,"Alexandre Jankewitz",Midfielder,20,0,1,1
422,"Pontus Jansson",Defender,31,7,0,15
430,"Raúl Jiménez",Forward,31,2,0,25.5
431,"João Cancelo",Defender,28,5,1,36
432,"João Moutinho",Midfielder,36,4.5,0.25,43.25
433,"João Pedro",Forward,21,0.5,0,7
434,"João Virgínia",Goalkeeper,23,0,0,0
435,Joelinton,Forward,26,6,0,40
438,"Ben Johnson",Defender,22,0.333333,0,4.66667
439,"Curtis Jones",Midfielder,21,0.666667,0,10.6667
440,Jonny,Defender,28,2.33333,0,13.3333
441,Jorginho,Midfielder,30,9,0,30
442,"José Sá",Goalkeeper,29,3,0,3
443,"James Justin",Defender,24,2.5,0,12
444,"Ozan Kabak",Defender,22,2.5,0,11
445,"Christian Kabasele",Defender,31,0.5,1,13.5
447,"Samuel Kalu",Forward,25,0,0,0
449,"Harry Kane",Forward,29,3.75,0,34
450,"N'Golo Kanté",Midfielder,31,4,0,34.5
454,"Edo Kayembe",Midfielder,24,0,0,4
455,Kayky,Forward,19,0,0,1
456,"Moise Kean",Forward,22,0.333333,0,9.33333
