player_id,player_name,player_position,sum_yellow_cards,sum_red_cards,player_fouls,seasons_played
929,"Caleb Watts",Midfielder,1,0,0,1
930,"Adam Webster",Defender,13,0,53,3
931,"Wout Weghorst",Forward,3,0,30,1
933,"Danny Welbeck",Forward,0,0,48,4
936,"Timo Werner",Forward,3,0,39,2
937,Wesley,Forward,3,0,44,3
938,"Ashley Westwood",Midfielder,28,0,127,4
940,"Ben White",Defender,6,1,49,2
942,"Connor Wickham",Forward,0,0,7,2
943,"Georginio Wijnaldum",Midfielder,4,0,48,3
945,Willian,Forward,6,0,34,3
946,"Willian José",Forward,0,0,8,1
947,"Joe Willock",Midfielder,3,0,59,4
948,"Ben Wilmot",Defender,0,0,0,1
949,"Harry Wilson",Midfielder,2,0,12,1
951,"Harry Winks",Midfielder,20,0,62,4
952,"Yoane Wissa",Midfielder,0,0,8,1
954,"Chris Wood",Forward,4,0,131,4
957,"Xande Silva",Forward,0,0,0,1
958,"Granit Xhaka",Midfielder,37,2,169,4
961,"Andrii Yarmolenko",Forward,8,0,33,4
963,"Nathan Young-Coombes",Forward,0,0,1,1
964,"Wilfried Zaha",Forward,23,2,161,4
966,Zanka,Defender,8,0,43,2
967,"Davide Zappacosta",Defender,0,0,2,1
968,"Andi Zeqiri",Forward,0,0,2,1
971,"Christoph Zimmermann",Defender,3,0,10,2
972,"Oleksandr Zinchenko",Midfielder,1,1,48,4
974,"Hakim Ziyech",Midfielder,6,0,43,2
975,"Kurt Zouma",Defender,13,1,78,4
977,"Martin Ødegaard",Midfielder,4,0,28,2
979,"Tosin Adarabioyo",Defender,1,0,16,1
981,"Adrien Silva",Midfielder,0,0,0,1
983,"Ahmed Hegazy",Defender,0,0,0,1
984,"Semi Ajayi",Defender,3,1,28,1
985,"Albian Ajeti",Forward,0,0,6,1
989,"Elliot Anderson",Midfielder,0,0,0,1
990,"Harry Arter",Midfielder,10,0,25,1
992,"Leighton Baines",Defender,0,0,3,2
993,"George Baldock",Defender,14,0,93,2
997,"Kyle Bartley",Defender,4,0,30,1
998,"Chris Basham",Defender,9,0,51,2
1000,"Ryan Bennett",Defender,14,0,44,2
1001,"Nabil Bentaleb",Midfielder,2,0,19,1
1002,"Sander Berge",Midfielder,4,0,32,2
1004,"Jayden Bogle",Defender,2,0,15,1
1008,"Sofiane Boufal",Midfielder,2,0,25,1
1010,"Claudio Bravo",Goalkeeper,0,0,0,1
1011,"Rhian Brewster",Forward,1,0,18,1
1014,"Joe Bryan",Defender,7,0,35,2
1016,"Oliver Burke",Forward,2,0,23,1
1018,"David Button",Goalkeeper,0,0,0,2
1019,"Oskar Buur",Defender,0,0,0,1
1020,"Tom Cairney",Midfielder,2,0,13,2
1023,"Cyrus Christie",Defender,7,0,29,1
